Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
Gorilla Guys,Darrell Henderson Jr.,2,44,195.14,73.5,-121.64
Gorilla Guys,Robbie Anderson,2,102,157.03,38.2,-118.83
Gorilla Guys,Jahan Dotson,2,74,159.03,57.2,-101.83
Gorilla Guys,Rams D/ST,2,20,82.21,50,-32.21
My Team  A Bust,Austin Ekeler,2,1,284.73,230.1,-54.63
My Team  A Bust,Mark Andrews,2,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,2,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,2,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,2,6,316.41,211.68,-104.73
My Team  A Bust,Jerry Jeudy,2,48,212.2,93,-119.2
My Team  A Bust,AJ Dillon,2,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,2,84,206.58,51.1,-155.48
My Team  A Bust,Clyde Edwards-Helaire,2,30,190.6,98.3,-92.3
My Team  A Bust,Allen Lazard,2,25,172.56,120.9,-51.66
My Team  A Bust,Kenneth Walker III,2,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,2,17,183.65,137.5,-46.15
My Team  A Bust,Treylon Burks,2,86,163.84,47.6,-116.24
My Team  A Bust,Michael Carter,2,29,150.53,98.3,-52.23
My Team  A Bust,Colts D/ST,2,12,108.7,66,-42.7
My Team  A Bust,Gus Edwards,2,74,84.01,25.1,-58.91
My Team  A Bust,Tyler Bass,2,1,131.58,100,-31.58
No Nyugen Will Win,Najee Harris,2,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,2,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,2,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,2,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,2,16,205.01,138.7,-66.31
No Nyugen Will Win,Antonio Gibson,2,15,181.26,139.8,-41.46
No Nyugen Will Win,Darnell Mooney,2,41,212.18,101.5,-110.68
No Nyugen Will Win,T.J. Hockenson,2,3,168.03,121.4,-46.63
No Nyugen Will Win,Aaron Rodgers,2,12,309.66,164.08,-145.58
No Nyugen Will Win,Garrett Wilson,2,32,175.31,109.8,-65.51
No Nyugen Will Win,Chris Olave,2,11,174.45,145,-29.45
No Nyugen Will Win,49ers D/ST,2,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,2,35,151.13,87.6,-63.53
No Nyugen Will Win,Curtis Samuel,2,19,133.02,134.5,1.48
No Nyugen Will Win,Younghoe Koo,2,6,125.78,89,-36.78
No Nyugen Will Win,Brian Robinson Jr.,2,52,102.87,52.9,-49.97
No Nyugen Will Win,Christian Watson,2,53,108.76,80.5,-28.26
Eugene Tweakers,Cooper Kupp,2,5,312.91,201.4,-111.51
Eugene Tweakers,Alvin Kamara,2,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,2,7,252.45,164.3,-88.15
