,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
235,Gorilla Guys,Amon-Ra St. Brown,2,11,208.86,168.7,-40.160000000000025,WR
236,Gorilla Guys,JuJu Smith-Schuster,2,34,197.1,124.3,-72.8,WR
237,Gorilla Guys,Tony Pollard,2,10,177.23,171.5,-5.72999999999999,RB
238,Gorilla Guys,DeAndre Hopkins,2,33,150.41,124.4,-26.00999999999999,WR
239,Gorilla Guys,Jamaal Williams,2,12,123.09,164.1,41.00999999999999,RB
240,Gorilla Guys,Saints D/ST,2,18,127.9,57.0,-70.9,D/ST
241,Gorilla Guys,Matt Gay,2,24,147.81,69.0,-78.81,K
242,Gorilla Guys,Darrell Henderson Jr.,2,47,195.14,73.5,-121.63999999999999,RB
243,Gorilla Guys,Robbie Anderson,2,105,157.03,40.9,-116.13,WR
244,Gorilla Guys,Jahan Dotson,2,84,159.03,57.2,-101.83,WR
245,Gorilla Guys,Rams D/ST,2,23,82.21,51.0,-31.209999999999994,D/ST
246,My Team  A Bust,Austin Ekeler,2,1,284.73,255.1,-29.630000000000024,RB
247,My Team  A Bust,Mark Andrews,2,2,235.05,144.8,-90.25,TE
248,My Team  A Bust,Saquon Barkley,2,6,227.77,200.5,-27.27000000000001,RB
249,My Team  A Bust,A.J. Brown,2,9,220.85,174.1,-46.75,WR
250,My Team  A Bust,Lamar Jackson,2,5,316.41,234.74,-81.67000000000002,QB
251,My Team  A Bust,Jerry Jeudy,2,53,212.2,93.0,-119.19999999999999,WR
252,My Team  A Bust,AJ Dillon,2,35,168.75,98.4,-70.35,RB
253,My Team  A Bust,Michael Thomas,2,92,206.58,51.1,-155.48000000000002,WR
254,My Team  A Bust,Clyde Edwards-Helaire,2,36,190.6,98.3,-92.3,RB
255,My Team  A Bust,Allen Lazard,2,32,172.56,125.3,-47.260000000000005,WR
256,My Team  A Bust,Kenneth Walker III,2,17,126.57,145.9,19.330000000000013,RB
257,My Team  A Bust,Dameon Pierce,2,18,183.65,142.1,-41.55000000000001,RB
258,My Team  A Bust,Treylon Burks,2,73,163.84,64.6,-99.24000000000001,WR
259,My Team  A Bust,Michael Carter,2,30,150.53,103.9,-46.629999999999995,RB
260,My Team  A Bust,Colts D/ST,2,11,108.7,69.0,-39.7,D/ST
261,My Team  A Bust,Gus Edwards,2,68,84.01,34.3,-49.71000000000001,RB
262,My Team  A Bust,Tyler Bass,2,1,131.58,117.0,-14.580000000000013,K
263,No Nyugen Will Win,Najee Harris,2,21,265.48,135.86,-129.62,RB
264,No Nyugen Will Win,Ja'Marr Chase,2,19,276.17,141.7,-134.47000000000003,WR
265,No Nyugen Will Win,Ezekiel Elliott,2,27,214.2,111.7,-102.49999999999999,RB
266,No Nyugen Will Win,J.K. Dobbins,2,69,214.3,34.2,-180.10000000000002,RB
267,No Nyugen Will Win,Travis Etienne Jr.,2,20,205.01,139.0,-66.00999999999999,RB
268,No Nyugen Will Win,Antonio Gibson,2,16,181.26,148.2,-33.06,RB
269,No Nyugen Will Win,Darnell Mooney,2,47,212.18,101.5,-110.68,WR
270,No Nyugen Will Win,T.J. Hockenson,2,3,168.03,136.7,-31.330000000000013,TE
271,No Nyugen Will Win,Aaron Rodgers,2,16,309.66,173.58,-136.08,QB
272,No Nyugen Will Win,Garrett Wilson,2,23,175.31,136.2,-39.110000000000014,WR
273,No Nyugen Will Win,Chris Olave,2,15,174.45,156.2,-18.25,WR
274,No Nyugen Will Win,49ers D/ST,2,4,112.33,100.0,-12.329999999999998,D/ST
275,No Nyugen Will Win,James Robinson,2,38,151.13,87.6,-63.53,RB
276,No Nyugen Will Win,Curtis Samuel,2,24,133.02,135.8,2.780000000000001,WR
277,No Nyugen Will Win,Younghoe Koo,2,7,125.78,97.0,-28.78,K
278,No Nyugen Will Win,Brian Robinson Jr.,2,48,102.87,73.4,-29.47,RB
279,No Nyugen Will Win,Christian Watson,2,47,108.76,101.5,-7.260000000000005,WR
280,Eugene Tweakers,Cooper Kupp,2,5,312.91,201.4,-111.51000000000002,WR
281,Eugene Tweakers,Alvin Kamara,2,15,254.82,153.6,-101.22,RB
